餐厅名称,城市,区域,美食类型,综合评分,口味评分,环境评分,服务评分,人均消费(元),点评数量,地址,推荐菜,推荐菜_清洗,价格等级,评分等级,口碑均衡度,热门度,推荐菜列表,是否高性价比
大湘菜,苏州,相城区,湘菜,3.8,4.0,3.4,3.9,72.0,4499,苏州相城区来福士山塘路161号,口味虾、农家一碗香、辣椒炒肉,口、农家、辣椒炒肉,中等(61-100),良好(3.5-4),0.32,116.95,"['口味虾', '农家一碗香', '辣椒炒肉']",False
丰茂,苏州,吴中区,烧烤,2.9,3.1,2.9,2.8,55.0,4518,苏州吴中区金鸡湖路558号,烤鸡翅、烤馒头、骨肉相连,烤鸡翅、烤馒、骨肉连,中低(31-60),较差(<3),0.15,89.63,"['烤鸡翅', '烤馒头', '骨肉相连']",False
蜀川菜舍,杭州,萧山区,川菜,4.2,3.8,3.8,4.3,89.0,140,杭州萧山区湖滨大道619号东区1层,鱼香肉丝、担担面、夫妻肺片,肉、担担面、夫妻肺片,中等(61-100),优秀(4-4.5),0.29,3.88,"['鱼香肉丝', '担担面', '夫妻肺片']",False
咖啡,苏州,姑苏区,咖啡厅,4.2,3.9,3.9,4.3,35.0,1386,苏州姑苏区凯德山塘巷342号3楼,芝士蛋糕、抹茶拿铁、美式咖啡,蛋糕、抹茶拿、美咖啡,中低(31-60),优秀(4-4.5),0.23,39.72,"['芝士蛋糕', '抹茶拿铁', '美式咖啡']",True
味韩国店,南京,江宁区,韩国料理,3.5,3.5,3.0,4.1,53.0,20,南京江宁区河西巷641号B1层,烤肉、炒年糕、冷面,烤肉、炒年糕、冷面,中低(31-60),一般(3-3.5),0.55,0.36,"['烤肉', '炒年糕', '冷面']",False
老面包店,武汉,光谷,面包甜点,4.1,4.5,4.6,4.0,27.0,80,武汉光谷万象城街道口路664号南区3层,菠萝包、慕斯蛋糕、提拉米苏,菠萝包、慕蛋糕、拉米,低消费(≤30),优秀(4-4.5),0.32,2.11,"['菠萝包', '慕斯蛋糕', '提拉米苏']",True
餐厅,武汉,江汉区,西餐,3.6,3.6,3.6,3.9,110.0,123,武汉江汉区龙湖天街光谷大道858号B2层,意面、披萨、沙拉,面、披萨、沙拉,中高(101-200),良好(3.5-4),0.17,2.91,"['意面', '披萨', '沙拉']",False
日料,重庆,九龙坡区,日料,3.7,3.5,3.7,3.8,156.0,1775,重庆九龙坡区磁器口街508号1楼,章鱼小丸子、鳗鱼饭、寿司拼盘,、鳗饭、拼盘,中高(101-200),良好(3.5-4),0.15,44.85,"['章鱼小丸子', '鳗鱼饭', '寿司拼盘']",False
韩国料理堂,武汉,武昌区,韩国料理,3.3,3.5,3.4,3.5,60.0,655,武汉武昌区万象城武广弄37号西区3层,大酱汤、炒年糕、烤肉,大酱、炒年糕、烤肉,中低(31-60),一般(3-3.5),0.06,14.69,"['大酱汤', '炒年糕', '烤肉']",False
新疆菜阁,北京,大兴区,新疆菜,3.7,3.7,3.1,3.8,53.0,427,北京大兴区西单街251号,手抓饭、大盘鸡、拉条子,饭、大盘鸡、拉,中低(31-60),良好(3.5-4),0.38,10.69,"['手抓饭', '大盘鸡', '拉条子']",False
百年,南京,江宁区,面馆,3.7,4.1,3.8,3.9,31.0,122,南京江宁区万达广场中山大道602号,牛肉面、兰州拉面、刀削面,牛肉面、兰拉面、刀面,中低(31-60),良好(3.5-4),0.15,2.96,"['牛肉面', '兰州拉面', '刀削面']",False
新疆菜,武汉,武昌区,新疆菜,4.1,4.0,4.2,4.0,45.0,2938,武汉武昌区万达广场中南巷853号南区1层,大盘鸡、拉条子、馕,大盘鸡、拉、馕,中低(31-60),优秀(4-4.5),0.12,82.35,"['大盘鸡', '拉条子', '馕']",True
穗面道,广州,荔湾区,面馆,4.1,3.9,3.9,4.4,15.0,20,广州荔湾区客村弄898号3楼,炸酱面、臊子面、兰州拉面,酱面、臊面、兰拉面,低消费(≤30),优秀(4-4.5),0.29,0.42,"['炸酱面', '臊子面', '兰州拉面']",True
日料,成都,锦江区,日料,3.6,3.7,3.5,4.1,184.0,96,成都锦江区玉林路466号,章鱼小丸子、拉面、味噌汤,、拉面、噌,中高(101-200),良好(3.5-4),0.31,2.24,"['章鱼小丸子', '拉面', '味噌汤']",False
小吃轩,武汉,武昌区,小吃快餐,3.3,3.5,2.9,3.0,27.0,7,武汉武昌区太古里江汉街909号,肉夹馍、小笼包、生煎,肉夹馍、笼包、煎,低消费(≤30),一般(3-3.5),0.32,0.05,"['肉夹馍', '小笼包', '生煎']",False
自助餐店,重庆,沙坪坝区,自助餐,3.9,3.9,3.6,3.8,123.0,194,重庆沙坪坝区大悦城磁器口街876号南区3层,海鲜拼盘、寿司、小龙虾,海拼盘、、龙,中高(101-200),良好(3.5-4),0.15,5.05,"['海鲜拼盘', '寿司', '小龙虾']",False
金蜀大侠,杭州,上城区,火锅,4.7,4.6,4.8,4.8,83.0,18,杭州上城区万象城钱江新城街833号,毛肚、午餐肉、肥牛,毛肚、餐肉、肥牛,中等(61-100),卓越(≥4.5),0.12,0.42,"['毛肚', '午餐肉', '肥牛']",False
沪咖啡馆,广州,越秀区,咖啡厅,3.0,3.0,3.1,3.0,54.0,133,广州越秀区天河街760号4楼,拿铁、抹茶拿铁、美式咖啡,拿、抹茶拿、美咖啡,中低(31-60),较差(<3),0.06,2.63,"['拿铁', '抹茶拿铁', '美式咖啡']",False
西餐料理,苏州,姑苏区,西餐,2.8,2.8,3.2,2.9,175.0,568,苏州姑苏区万象城金鸡湖巷76号,提拉米苏、烤鸡、牛排,拉米、烤鸡、牛排,中高(101-200),较差(<3),0.21,10.8,"['提拉米苏', '烤鸡', '牛排']",False
一面,苏州,相城区,面馆,3.2,2.9,4.0,2.9,33.0,86,苏州相城区来福士金鸡湖巷910号2楼,兰州拉面、牛肉面、葱油拌面,兰拉面、牛肉面、葱拌面,中低(31-60),一般(3-3.5),0.64,1.78,"['兰州拉面', '牛肉面', '葱油拌面']",False
穗湘菜,成都,金牛区,湘菜,3.5,3.3,3.8,4.0,49.0,4920,成都金牛区玉林弄576号北区2层,剁椒鱼头、臭豆腐、蒸排骨,剁椒、臭豆腐、排骨,中低(31-60),一般(3-3.5),0.36,117.81,"['剁椒鱼头', '臭豆腐', '蒸排骨']",False
丰茂,上海,普陀区,烧烤,4.1,4.1,4.1,4.0,126.0,339,上海普陀区万象城世纪弄232号,骨肉相连、烤鸡翅、羊肉串,骨肉连、烤鸡翅、肉串,中高(101-200),优秀(4-4.5),0.06,9.38,"['骨肉相连', '烤鸡翅', '羊肉串']",False
小吃,杭州,拱墅区,小吃快餐,4.4,4.4,4.0,4.3,23.0,1346,杭州拱墅区西湖街379号,小笼包、凉皮、麻辣烫,笼包、凉皮、麻辣,低消费(≤30),优秀(4-4.5),0.21,40.41,"['小笼包', '凉皮', '麻辣烫']",True
湘菜,上海,浦东新区,湘菜,4.1,4.1,4.4,3.8,50.0,426,上海浦东新区ifc五角场巷540号6楼,口味虾、小炒肉、农家一碗香,口、炒肉、农家,中低(31-60),优秀(4-4.5),0.3,11.82,"['口味虾', '小炒肉', '农家一碗香']",True
海底风味记,深圳,罗湖区,火锅,4.1,3.8,4.0,4.2,99.0,40,深圳罗湖区来福士车公庙路447号B2层,黄喉、豆皮、肥牛,黄喉、豆皮、肥牛,中等(61-100),优秀(4-4.5),0.2,0.98,"['黄喉', '豆皮', '肥牛']",False
小东南店,南京,秦淮区,东南亚菜,3.8,3.4,4.1,4.1,56.0,6554,南京秦淮区万达广场河西巷537号,越南河粉、烤肉串、菠萝饭,南河粉、烤肉串、菠萝饭,中低(31-60),良好(3.5-4),0.4,170.43,"['越南河粉', '烤肉串', '菠萝饭']",False
金一味,广州,天河区,日料,3.6,3.4,3.7,4.0,210.0,12,广州天河区龙湖天街客村路182号B2层,天妇罗、鳗鱼饭、三文鱼刺身,妇罗、鳗饭、三刺,高端(>200),良好(3.5-4),0.3,0.17,"['天妇罗', '鳗鱼饭', '三文鱼刺身']",False
盛小吃阁,苏州,相城区,小吃快餐,4.4,4.6,4.0,4.5,21.0,333,苏州相城区太古里山塘巷463号,凉皮、麻辣烫、锅贴,凉皮、麻辣、锅,低消费(≤30),优秀(4-4.5),0.32,9.88,"['凉皮', '麻辣烫', '锅贴']",True
湘咖啡轩,北京,大兴区,咖啡厅,2.9,2.7,2.8,2.8,52.0,1668,北京大兴区龙湖天街中关村路517号东区1层,美式咖啡、抹茶拿铁、芝士蛋糕,美咖啡、抹茶拿、蛋糕,中低(31-60),较差(<3),0.06,33.03,"['美式咖啡', '抹茶拿铁', '芝士蛋糕']",False
巴新疆阁,重庆,九龙坡区,新疆菜,3.5,3.2,3.9,3.2,40.0,1000,重庆九龙坡区太古里洪崖洞巷291号B1层,拉条子、烤包子、大盘鸡,拉、烤包、大盘鸡,中低(31-60),一般(3-3.5),0.4,23.85,"['拉条子', '烤包子', '大盘鸡']",False
川菜,成都,青羊区,川菜,3.6,3.4,2.9,3.3,73.0,107,成都青羊区万达广场春熙大道317号,辣子鸡、夫妻肺片、麻婆豆腐,辣鸡、夫妻肺片、麻婆豆腐,中等(61-100),良好(3.5-4),0.26,2.51,"['辣子鸡', '夫妻肺片', '麻婆豆腐']",False
新疆菜,广州,天河区,新疆菜,4.2,4.3,4.0,4.3,58.0,8,广州天河区大悦城珠江新城街852号6楼,烤包子、大盘鸡、手抓饭,烤包、大盘鸡、饭,中低(31-60),优秀(4-4.5),0.17,0.09,"['烤包子', '大盘鸡', '手抓饭']",True
小厨,深圳,宝安区,小吃快餐,3.4,3.7,2.9,3.5,32.0,55,深圳宝安区车公庙大道797号B2层,凉皮、肉夹馍、生煎,凉皮、肉夹馍、煎,中低(31-60),一般(3-3.5),0.42,1.16,"['凉皮', '肉夹馍', '生煎']",False
咖啡厅轩,上海,浦东新区,咖啡厅,4.5,4.7,4.1,4.9,55.0,3032,上海浦东新区张江路970号2楼,拿铁、抹茶拿铁、华夫饼,拿、抹茶拿、华夫饼,中低(31-60),优秀(4-4.5),0.42,93.29,"['拿铁', '抹茶拿铁', '华夫饼']",True
西餐小馆,成都,武侯区,西餐,4.2,4.2,4.8,4.3,150.0,1276,成都武侯区万达广场天府巷460号,披萨、意面、牛排,披萨、面、牛排,中高(101-200),优秀(4-4.5),0.32,36.56,"['披萨', '意面', '牛排']",False
巴海鲜记,重庆,渝北区,海鲜,3.4,3.3,3.3,3.3,227.0,576,重庆渝北区洪崖洞弄17号6楼,清蒸石斑鱼、椒盐皮皮虾、葱姜炒蟹,清斑、椒皮皮、葱姜炒,高端(>200),一般(3-3.5),0.0,13.3,"['清蒸石斑鱼', '椒盐皮皮虾', '葱姜炒蟹']",False
面馆,深圳,龙岗区,面馆,3.8,4.1,3.4,3.8,39.0,1734,深圳龙岗区太古里东门路366号西区3层,牛肉面、刀削面、兰州拉面,牛肉面、刀面、兰拉面,中低(31-60),良好(3.5-4),0.35,45.0,"['牛肉面', '刀削面', '兰州拉面']",False
火锅,苏州,虎丘区,火锅,3.9,4.1,3.9,4.0,77.0,44,苏州虎丘区来福士平江路811号B1层,藕片、酥肉、黄喉,藕片、肉、黄喉,中等(61-100),良好(3.5-4),0.1,1.04,"['藕片', '酥肉', '黄喉']",False
素食,重庆,沙坪坝区,素食,4.4,4.5,4.2,4.9,40.0,2484,重庆沙坪坝区来福士观音桥巷709号南区1层,素火腿、素烧鹅、时蔬沙拉,火、烧鹅、沙拉,中低(31-60),优秀(4-4.5),0.35,74.7,"['素火腿', '素烧鹅', '时蔬沙拉']",True
德庄轩,苏州,工业园区,火锅,4.2,4.2,4.2,4.1,129.0,741,苏州工业园区太古里独墅湖大道630号东区1层,藕片、豆皮、黄喉,藕片、豆皮、黄喉,中高(101-200),优秀(4-4.5),0.06,21.17,"['藕片', '豆皮', '黄喉']",False
牛排馆,重庆,渝北区,西餐,4.0,4.0,3.5,3.7,88.0,248,重庆渝北区太古里南滨大道455号,烤鸡、披萨、沙拉,烤鸡、披萨、沙拉,中等(61-100),良好(3.5-4),0.25,6.66,"['烤鸡', '披萨', '沙拉']",False
翠园庄,北京,朝阳区,粤菜,4.0,4.1,4.2,4.1,151.0,137,北京朝阳区国贸路139号1楼,肠粉、煲仔饭、虾饺,肠粉、煲饭、饺,中高(101-200),良好(3.5-4),0.06,3.62,"['肠粉', '煲仔饭', '虾饺']",False
湘海鲜店,成都,高新区,海鲜,3.8,3.6,3.6,4.0,166.0,1010,成都高新区ifc太古里巷27号,海胆蒸蛋、椒盐皮皮虾、蒜蓉生蚝,海胆蛋、椒皮皮、蓉蚝,中高(101-200),良好(3.5-4),0.23,26.15,"['海胆蒸蛋', '椒盐皮皮虾', '蒜蓉生蚝']",False
咖啡,北京,丰台区,咖啡厅,4.3,4.6,4.2,3.9,48.0,200,北京丰台区三里屯弄656号B1层,提拉米苏、拿铁、美式咖啡,拉米、拿、美咖啡,中低(31-60),优秀(4-4.5),0.35,5.74,"['提拉米苏', '拿铁', '美式咖啡']",True
海底风味馆,北京,东城区,火锅,4.2,4.4,4.0,4.0,114.0,12726,北京东城区ifc簋街路515号西区1层,鸭肠、虾滑、肥牛,肠、滑、肥牛,中高(101-200),优秀(4-4.5),0.23,365.9,"['鸭肠', '虾滑', '肥牛']",False
湘菜,苏州,虎丘区,湘菜,3.4,3.8,3.5,3.9,69.0,1135,苏州虎丘区来福士金鸡湖弄297号北区1层,蒸排骨、农家一碗香、口味虾,排骨、农家、口,中等(61-100),一般(3-3.5),0.21,26.31,"['蒸排骨', '农家一碗香', '口味虾']",False
鮨,北京,朝阳区,日料,3.5,3.6,3.5,3.8,175.0,72,北京朝阳区中关村街478号,炸猪排、寿司拼盘、鳗鱼饭,排、拼盘、鳗饭,中高(101-200),一般(3-3.5),0.15,1.61,"['炸猪排', '寿司拼盘', '鳗鱼饭']",False
火锅,南京,江宁区,火锅,4.6,4.6,5.0,4.7,109.0,1264,南京江宁区万达广场中山大道510号1楼,酥肉、午餐肉、肥牛,肉、餐肉、肥牛,中高(101-200),卓越(≥4.5),0.21,39.66,"['酥肉', '午餐肉', '肥牛']",False
炳胜楼,成都,锦江区,粤菜,3.8,4.1,3.9,3.5,45.0,195,成都锦江区春熙巷53号,烧鹅、虾饺、干炒牛河,烧鹅、饺、干炒牛河,中低(31-60),良好(3.5-4),0.31,4.94,"['烧鹅', '虾饺', '干炒牛河']",False
小筑馆,武汉,汉阳区,西餐,3.8,3.9,3.3,3.7,119.0,68,武汉汉阳区凯德中南弄412号,意面、沙拉、披萨,面、沙拉、披萨,中高(101-200),良好(3.5-4),0.31,1.64,"['意面', '沙拉', '披萨']",False
花隐,武汉,汉阳区,日料,4.5,4.8,4.8,4.9,176.0,88,武汉汉阳区武广路378号,味噌汤、拉面、天妇罗,噌、拉面、妇罗,中高(101-200),优秀(4-4.5),0.06,2.56,"['味噌汤', '拉面', '天妇罗']",False
沪面包甜点,上海,嘉定区,面包甜点,4.2,4.2,4.5,4.5,50.0,233,上海嘉定区大悦城四川街33号5楼,菠萝包、马卡龙、蛋挞,菠萝包、马卡龙、蛋,中低(31-60),优秀(4-4.5),0.17,6.56,"['菠萝包', '马卡龙', '蛋挞']",True
西餐,南京,栖霞区,西餐,3.2,3.4,3.6,3.0,108.0,119,南京栖霞区太古里湖南街471号南区3层,披萨、奶油蘑菇汤、意面,披萨、奶蘑菇、面,中高(101-200),一般(3-3.5),0.31,2.5,"['披萨', '奶油蘑菇汤', '意面']",False
小吃,杭州,萧山区,小吃快餐,3.4,3.5,3.5,3.2,27.0,109,杭州萧山区太古里西湖弄957号B2层,酸辣粉、肉夹馍、锅贴,辣粉、肉夹馍、锅,低消费(≤30),一般(3-3.5),0.17,2.42,"['酸辣粉', '肉夹馍', '锅贴']",False
东南亚菜,南京,秦淮区,东南亚菜,3.7,3.9,3.5,3.5,60.0,33,南京秦淮区恒隆广场夫子庙路631号西区1层,越南河粉、咖喱蟹、烤肉串,南河粉、咖喱、烤肉串,中低(31-60),良好(3.5-4),0.23,0.71,"['越南河粉', '咖喱蟹', '烤肉串']",False
粤菜食堂,深圳,南山区,粤菜,4.1,3.8,4.2,4.4,66.0,1845,深圳南山区万达广场车公庙大道329号B1层,白切鸡、肠粉、烧鹅,白鸡、肠粉、烧鹅,中等(61-100),优秀(4-4.5),0.31,51.66,"['白切鸡', '肠粉', '烧鹅']",True
韩国料理坊,上海,长宁区,韩国料理,4.0,3.9,4.8,3.6,123.0,42,上海长宁区大悦城徐家汇弄506号,冷面、烤肉、大酱汤,冷面、烤肉、大酱,中高(101-200),良好(3.5-4),0.62,1.01,"['冷面', '烤肉', '大酱汤']",False
川菜,武汉,光谷,川菜,4.0,4.0,3.9,3.9,46.0,472,武汉光谷万达广场江汉巷686号,宫保鸡丁、麻婆豆腐、鱼香肉丝,宫保鸡丁、麻婆豆腐、肉,中低(31-60),良好(3.5-4),0.06,12.79,"['宫保鸡丁', '麻婆豆腐', '鱼香肉丝']",True
味大龙燚,南京,玄武区,火锅,4.0,3.5,3.7,4.4,113.0,1841,南京玄武区龙湖天街百家湖路655号,肥牛、毛肚、鸭肠,肥牛、毛肚、肠,中高(101-200),良好(3.5-4),0.47,50.29,"['肥牛', '毛肚', '鸭肠']",False
红杏,苏州,虎丘区,川菜,3.8,3.7,3.1,3.8,63.0,5,苏州虎丘区观前弄115号,宫保鸡丁、夫妻肺片、麻婆豆腐,宫保鸡丁、夫妻肺片、麻婆豆腐,中等(61-100),良好(3.5-4),0.38,0.0,"['宫保鸡丁', '夫妻肺片', '麻婆豆腐']",False
韩国料理庄,北京,西城区,韩国料理,3.6,3.6,3.0,3.6,157.0,26,北京西城区大悦城西单大道837号1楼,紫菜包饭、冷面、烤肉,菜包饭、冷面、烤肉,中高(101-200),良好(3.5-4),0.35,0.52,"['紫菜包饭', '冷面', '烤肉']",False
小吃,重庆,渝中区,小吃快餐,3.7,3.9,3.6,3.7,12.0,392,重庆渝中区恒隆广场磁器口巷385号,锅贴、肉夹馍、麻辣烫,锅、肉夹馍、麻辣,低消费(≤30),良好(3.5-4),0.15,9.81,"['锅贴', '肉夹馍', '麻辣烫']",False
